"date","Energéticos y tarifas autorizadas por el gobierno","Agropecuarios","Servicios","Mercancías"
2024-11-01,0.332660552928,0.066077635964,0.137227111945,-0.101341238346
2024-10-01,0.154989575796,0.184377919706,0.125464788064,0.090081100752
2024-09-01,0.003780233556,-0.17585177313,0.137227111945,0.078820963158
2024-08-01,0.060483736896,-0.221679810976,0.105860914929,0.067560825564
2024-07-01,0.212953156988,0.532884161,0.215642604485,0.045040550376
2024-06-01,0.032762024152,0.164128321588,0.105860914929,0.067560825564
2024-05-01,-0.3780233556,0.071406477574,0.11762323881,0.026273654386
2024-04-01,-0.206652767728,0.247258250704,0.03920774627,0.11260137594
2024-03-01,0.020161245632,-0.056485721066,0.270533449263,0.082574342356
2024-02-01,0.267136504624,-0.49025342812,0.239167252247,0.15013516792
2024-01-01,0.073084515416,0.46893806168,0.15683098508,0.153888547118
